fast-dispatching,fast-firing,fast-in,fast-out,fast-sent,hedger-input,hedger-input-filter,hedger-output-filter,hedger-process,hedger-send,ht-eod-in,htNotifyOrder,htPrepareOrder,input-exec,virtual-dispatching,virtual-out
173,5,16,44,3,2367,28,18,295,78,64,18,530,146,4,8
173,5,16,45,2,2367,25,21,296,77,64,20,528,146,4,8
56,4,8,37,3,2961,43,16,419,45,414,25,408,239,0,2
56,4,5,20,1,2961,41,18,289,71,414,12,569,239,0,2
55,2,12,49,3,2912,25,17,320,87,277,25,664,183,0,1
55,2,9,33,3,2915,25,14,317,270,277,18,512,183,0,1
123,5,10,53,2,2746,94,42,278,71,591,19,599,146,1,2
123,5,7,36,1,2739,99,45,278,70,591,13,710,146,1,2
85,6,11,49,3,3646,58,35,536,192,185,29,1452,232,3,3
85,6,7,24,2,3745,90,56,856,94,185,16,1151,232,3,3
216,5,13,66,4,2494,28,19,305,145,370,29,903,203,1,1
216,5,13,69,3,2393,40,25,390,146,370,25,904,203,1,1
50,3,6,31,3,2187,59,25,336,70,493,13,476,204,1,1
50,3,10,43,1,2171,75,24,254,59,493,21,548,204,1,1
22,24,17,71,4,2721,47,29,344,103,190,40,962,134,5,13
22,24,20,68,5,2702,62,33,357,91,190,41,960,134,5,13
16,14,10,45,3,1566,21,16,250,60,130,22,696,97,3,5
16,14,10,47,1,1568,26,12,247,60,130,20,698,97,3,5
84,9,22,97,6,4325,60,55,547,182,653,47,2639,358,2,4
84,9,22,100,5,4402,58,41,669,150,653,44,2492,358,2,4
11,6,10,41,3,3914,22,17,269,67,416,20,660,51,1,2
11,6,10,42,3,3922,15,16,269,67,416,17,663,51,1,2
34,5,22,97,6,3988,24,24,433,156,177,43,1310,166,5,5
34,5,21,80,5,3980,36,20,530,146,177,46,1275,166,5,5
241,3,9,38,2,2495,26,17,289,58,403,19,388,109,1,3
241,3,7,30,2,2496,21,21,316,66,403,18,405,109,1,3
96,8,10,40,2,2405,14,11,256,72,356,28,448,143,4,6
96,8,19,29,2,2386,27,17,256,72,356,15,560,143,4,6
45,9,9,46,2,2216,29,21,418,98,116,20,1005,331,4,3
45,9,9,47,2,2124,50,27,418,115,116,19,1054,331,4,3
59,3,16,42,3,1560,18,14,263,64,196,21,672,69,4,1
59,3,16,43,2,1560,20,12,263,64,196,19,674,69,4,1
92,5,13,65,4,2730,26,13,263,68,359,30,696,123,3,3
92,5,13,68,3,2729,23,17,262,69,359,30,696,123,3,3
,,9,42,2,,11,12,246,60,,20,368,,,
,,12,38,3,,9,16,350,44,,6,46,,,
201,5,12,64,4,2544,46,22,722,168,271,27,876,90,1,1
201,5,27,251,7,2509,36,33,362,117,271,254,916,90,1,1
35,10,12,51,4,2975,20,21,279,78,268,36,707,410,1,5
35,10,15,72,8,2975,19,23,278,78,268,97,1032,410,1,5
16,6,10,63,2,1925,32,42,428,92,201,269,695,75,3,3
16,6,13,62,4,1910,40,49,395,114,201,264,708,75,3,3
161,11,10,51,9,3858,103,26,495,284,374,34,1004,161,1,1
161,11,13,91,3,3958,56,32,617,187,374,23,1045,161,1,1
28,5,10,42,2,3555,12,11,263,84,328,41,727,72,18,8
28,5,10,43,1,3545,19,14,264,83,328,49,719,72,18,8
230,4,12,68,4,2727,48,25,496,115,350,35,516,291,1,1
230,4,22,27,3,2753,27,20,498,100,350,201,447,291,1,1
25,5,10,44,2,2744,49,31,684,150,217,23,650,78,3,2
25,5,8,45,1,2726,54,37,694,147,217,10,665,78,3,2
44,6,10,46,2,1663,17,14,430,62,314,18,589,231,4,1
44,6,10,46,2,1665,17,12,430,61,314,19,589,231,4,1
,,14,45,3,,11,12,360,67,,20,629,,,
,,13,48,9,,11,13,370,69,,17,621,,,
,,13,62,5,,7,9,386,52,,10,63,,,
,,6,29,3,,14,7,564,37,,5,34,,,
156,5,15,54,4,3118,30,18,332,137,416,29,677,223,0,1
156,5,13,42,3,3137,22,17,385,74,416,22,817,223,0,1
175,6,19,83,6,4290,30,17,330,82,312,33,799,245,2,3
175,6,20,95,5,4281,47,15,320,102,312,82,819,245,2,3
,,11,49,4,,9,11,273,79,,24,420,,,
,,7,45,2,,6,8,206,35,,6,36,,,
277,2,16,69,4,2984,39,28,410,121,369,29,683,73,4,5
277,2,20,94,8,2998,42,31,540,142,369,44,1084,73,4,5
25,4,9,46,3,1829,23,14,246,72,236,17,421,279,3,1
25,4,9,40,3,1832,30,27,255,76,236,15,482,279,3,1
45,3,21,87,5,1731,47,14,250,58,179,34,499,177,0,2
45,3,20,91,6,1743,37,13,303,65,179,39,714,177,0,2
20,15,10,36,2,3389,21,20,197,70,393,17,528,154,5,5
20,15,6,22,2,3396,14,21,217,55,393,11,548,154,5,5
103,4,20,83,5,2434,50,26,375,123,764,33,776,280,2,3
103,4,18,56,9,2437,67,30,539,113,764,29,673,280,2,3
78,4,12,75,2,4119,17,12,231,86,170,27,512,280,1,2
78,4,6,43,4,4119,20,9,235,81,170,14,562,280,1,2
188,7,9,47,3,1943,15,10,226,62,72,11,641,171,10,5
188,7,11,49,2,1939,17,12,224,64,72,18,632,171,10,5
5,5,14,39,3,2526,113,21,305,72,182,21,848,58,2,2
5,5,14,41,2,2552,55,30,328,73,182,17,851,58,2,2
55,9,10,47,3,1339,27,12,199,76,70,18,393,165,8,3
55,9,9,31,3,1339,24,15,232,66,70,20,441,165,8,3
79,5,17,86,6,1979,13,15,321,159,97,30,685,235,7,5
79,5,9,32,3,1963,35,9,323,157,97,21,789,235,7,5
64,4,13,54,4,1569,21,16,223,69,256,22,616,102,2,2
64,4,13,56,2,1568,28,10,224,68,256,19,619,102,2,2
73,5,10,42,2,1507,12,10,201,71,91,18,372,172,11,6
73,5,11,45,4,1476,31,18,229,67,91,23,569,172,11,6
49,4,10,49,3,1418,14,11,182,61,169,16,613,129,1,1
49,4,10,50,2,1418,18,7,182,61,169,17,612,129,1,1
179,7,18,91,5,1233,13,12,236,57,114,31,1020,214,5,1
179,7,17,94,4,1233,16,11,234,58,114,29,1023,214,5,1
21,16,10,45,3,3773,18,8,184,63,129,15,623,48,6,11
21,16,10,46,2,3773,15,11,185,62,129,17,621,48,6,11
27,20,27,53,4,1554,20,15,233,68,230,24,500,184,7,8
27,20,41,41,2,1554,24,11,233,68,230,24,500,184,7,8
26,3,21,109,8,2666,22,28,585,175,293,43,1375,193,2,2
26,3,21,111,6,2639,57,20,581,179,293,41,1377,193,2,2
17,13,9,59,2,2722,122,19,270,64,311,17,503,163,3,3
17,13,11,27,2,2746,101,15,278,67,311,16,538,163,3,3
115,3,11,43,2,2204,21,17,281,89,147,19,586,184,5,1
115,3,6,31,4,2204,28,9,282,89,147,14,607,184,5,1
141,11,7,39,3,4597,16,10,218,89,25,31,569,148,7,7
141,11,11,53,1,4615,12,19,197,87,25,17,567,148,7,7
22,8,20,93,5,1434,20,15,225,111,128,34,1140,121,5,5
22,8,18,92,5,1435,24,11,224,111,128,34,1146,121,5,5
175,4,10,39,3,3964,16,31,196,90,240,16,392,118,2,1
175,4,6,18,1,3971,13,28,217,75,240,8,439,118,2,1
67,16,13,51,3,3409,28,8,252,78,140,22,567,274,11,9
67,16,11,37,3,3423,12,10,252,78,140,19,599,274,11,9
46,4,10,44,2,4747,17,8,238,67,93,23,616,196,5,1
46,4,10,45,2,4747,19,6,235,70,93,25,614,196,5,1
52,2,8,40,4,2003,19,5,213,60,185,27,587,87,0,2
52,2,13,47,2,2003,15,7,215,60,185,21,583,87,0,2
30,8,8,71,4,1444,14,9,190,67,214,28,436,47,5,1
30,8,11,73,2,1444,17,6,189,68,214,26,435,47,5,1
87,3,10,55,3,2010,24,5,214,68,251,18,380,112,2,1
87,3,8,46,3,1964,58,11,261,63,251,28,402,112,2,1
194,11,15,65,3,4226,52,9,315,97,170,24,695,172,8,3
194,11,14,53,4,4226,49,12,366,91,170,23,695,172,8,3
48,7,12,47,4,1577,20,6,327,95,281,20,815,92,1,1
48,7,9,28,2,1577,16,8,330,94,281,15,875,92,1,1
20,10,10,57,3,2144,13,7,242,70,293,16,590,88,5,5
20,10,19,57,3,2144,16,33,212,71,293,12,599,88,5,5
56,8,10,52,3,1316,36,9,644,165,166,25,672,255,0,1
56,8,10,54,2,1299,70,16,629,205,166,25,623,255,0,1
